,population,gdp,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,electricity_generation,energy_cons_change_twh,gas_electricity,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,nuclear_consumption,nuclear_electricity,oil_electricity,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,primary_energy_consumption,solar_electricity,wind_electricity,pec_copy
18,123379928.0,269977223168.0,426.34,0.1533999999999999,-163.923,22902.0858,0.0,1062.67,-456.0298000000001,361.16,-1.3704,292.6586,101.3522,541.4976,0.0,0.0,23.16,-1.1169999999999998,-257.23,363.4648,3808.6622,1000.0436707102265,6.88,3.47,7966.256599999999
19,5197251.4,255160300339.2,474.53,27.900600000000004,0.011,0.0,2242.2925999999998,1112.36,761.6230869565218,383.21,12.5486,3.7161999999999997,2391.8298000000004,0.0,22.6802,0.0,18.98,4.0733999999999995,20.822400000000002,0.0,403.6168,989.322140989063,13.61,5.91,13987.996
20,41697773.6,182442491904.0,494.55,-7.212000000000001,2.7322,0.0,0.0,1101.59,44.4116,334.5,66.665,0.0,0.0,0.0,41.200477749360616,0.0,13.0,5.046200000000001,0.0,3106.4962,0.0,987.7536814975119,20.12,5.79,674.0228
21,25650189.6,308390920192.0,499.75,-100.0,-0.213,0.0,1378.434,1146.28,747.8527608695653,340.67,12.5486,2.8792,0.0,0.0,58.64347212276215,0.0,11.72,16.4402,16.226200000000002,493.5684,113.453,1006.651462671108,35.88,7.63,13987.996
22,4991318.6,879609118720.0,504.96,-100.0,-1.9834000000000003,12.162,3311.6796000000004,1205.79,0.6275999999999998,352.03,-12.903,28.103199999999998,0.0,48.46040000000001,0.0,0.0,14.53,-4.5642000000000005,-40.4454,2282.9504,84.88900000000001,1013.7832554219615,37.21,13.09,86.28419999999998
23,4887337.2,1258046278860.8,546.94,34.342200000000005,0.0,0.0,0.0,1237.4,49.16760000000001,361.13,0.26419999999999993,-12.1616,0.0,315.096,443.39520000000005,0.0,13.12,0.9513999999999999,-1.1072,151905.0716,26.035199999999996,975.7613912449958,38.51,16.11,487.0634
24,4707744.0,1651331926220.8,546.94,-33.3562,-15.759199999999998,0.0,0.0,1237.4,-45.163309325681496,361.13,1.8646433527255526e+17,-0.33419999999999994,0.0,0.0,39.78249913793104,0.0,13.12,8.6326,1.5594,533.5459999999999,12.22705,1004.9877112416129,38.51,16.11,2044.3596000000002
25,4751177.0,1288989751705.6,546.94,-26.7836,0.0,0.0,0.0,1237.4,-31.19634131994261,361.13,1.8646433527255523e+17,0.0,0.0,0.0,40.94715252373814,0.0,13.12,-14.285599999999999,1.5594,617.3248,11.166865,1011.1037368140287,38.51,16.11,1450.5332
26,4802500.0,1241170382950.4,546.94,-28.3128,0.0,0.0,0.0,1237.4,-30.654574605451927,361.13,1.8646433527255526e+17,0.0,0.0,0.0,42.347132638332006,0.0,13.12,-0.7205999999999996,1.5468,2663.8754,11.00428,1014.8442060023742,38.51,16.11,1359.3738
27,4861833.0,1232613266483.2,546.94,-1.8817999999999984,0.0,0.0,0.0,1237.4,-29.326157177922585,361.13,1.8646433527255526e+17,0.0,0.0,0.0,47.13387343260189,0.0,13.12,4.7696000000000005,1.5592,27055.298,11.266000172413793,1030.778835071028,38.51,16.11,1348.5432
